REGWLD,GDPS,SCEN,Value,,,,,
PHL,GDPpct,GlOBPES,0.028851805,,,,,
POL,GDPpct,GlOBPES,0.081788972,,,,,
R_S_Asia,GDPpct,GlOBPES,0.020400379,,,,,
R_SE_Asia,GDPpct,GlOBPES,1.44E-03,,,,,
Russia,GDPpct,GlOBPES,0.015155511,,,,,
S_o_Amer,GDPpct,GlOBPES,0.031058537,,,,,
S_S_AFR,GDPpct,GlOBPES,-0.070013613,,,,,
TUR,GDPpct,GlOBPES,0.012337774,,,,,
USA,GDPpct,GlOBPES,7.99E-03,,,,,
VNM,GDPpct,GlOBPES,4.59E-03,,,,,
XAC,GDPpct,GlOBPES,-0.014761443,,,,,
ZAF,GDPpct,GlOBPES,-0.015087526,,,,,
World,GDPpct,GlOBPES,0.012389902,,,,,
ARG,RealGDPvalch,GlOBPES,204.0232544,,,,,
BGD,RealGDPvalch,GlOBPES,-186.9381561,,,,,
BRAZIL,RealGDPvalch,GlOBPES,364.195282,,,,,
C_C_Amer,RealGDPvalch,GlOBPES,192.4068298,,,,,
CAN,RealGDPvalch,GlOBPES,-197.8558655,,,,,
CHIHKG,RealGDPvalch,GlOBPES,5458.887695,,,,,
COL,RealGDPvalch,GlOBPES,70.03440094,,,,,
E_Asia,RealGDPvalch,GlOBPES,-22.32863808,,,,,
EGY,RealGDPvalch,GlOBPES,1451.054443,,,,,
ETH,RealGDPvalch,GlOBPES,13.03497505,,,,,
EU27,RealGDPvalch,GlOBPES,170.8525543,,,,,
IDN,RealGDPvalch,GlOBPES,-2555.582031,,,,,
INDIA,RealGDPvalch,GlOBPES,1567.373779,,,,,
JAPAN,RealGDPvalch,GlOBPES,219.9103088,,,,,
KOR,RealGDPvalch,GlOBPES,116.5823364,,,,,
MAR,RealGDPvalch,GlOBPES,103.5319977,,,,,
MDG,RealGDPvalch,GlOBPES,13.18113232,,,,,
MEAS_NAfr,RealGDPvalch,GlOBPES,3159.929199,,,,,
MEX,RealGDPvalch,GlOBPES,20.05957031,,,,,
MYS,RealGDPvalch,GlOBPES,-420.7547607,,,,,
NGA,RealGDPvalch,GlOBPES,-244.2833862,,,,,
Oceania,RealGDPvalch,GlOBPES,141.3742523,,,,,
Oth_CEE_CIS,RealGDPvalch,GlOBPES,509.2605896,,,,,
Oth_Europe,RealGDPvalch,GlOBPES,61.57164764,,,,,
PAK,RealGDPvalch,GlOBPES,-46.05100632,,,,,
PHL,RealGDPvalch,GlOBPES,142.6295319,,,,,
POL,RealGDPvalch,GlOBPES,610.9812622,,,,,
R_S_Asia,RealGDPvalch,GlOBPES,37.966465,,,,,
R_SE_Asia,RealGDPvalch,GlOBPES,13.93341827,,,,,
Russia,RealGDPvalch,GlOBPES,555.4071655,,,,,
S_o_Amer,RealGDPvalch,GlOBPES,537.892334,,,,,
S_S_AFR,RealGDPvalch,GlOBPES,-804.0501709,,,,,
TUR,RealGDPvalch,GlOBPES,139.295166,,,,,
USA,RealGDPvalch,GlOBPES,1635.564331,,,,,
VNM,RealGDPvalch,GlOBPES,15.10665226,,,,,
XAC,RealGDPvalch,GlOBPES,-73.12231445,,,,,
ZAF,RealGDPvalch,GlOBPES,-71.94963074,,,,,
World,RealGDPvalch,GlOBPES,12903.125,,,,,
ARG,NomGDPvalch,GlOBPES,364.625,,,,,
BGD,NomGDPvalch,GlOBPES,70.78125,,,,,
BRAZIL,NomGDPvalch,GlOBPES,-1074,,,,,
C_C_Amer,NomGDPvalch,GlOBPES,-124.5625,,,,,
CAN,NomGDPvalch,GlOBPES,-2298.25,,,,,
CHIHKG,NomGDPvalch,GlOBPES,5434,,,,,
COL,NomGDPvalch,GlOBPES,372.25,,,,,
E_Asia,NomGDPvalch,GlOBPES,95.453125,,,,,
EGY,NomGDPvalch,GlOBPES,800.6875,,,,,
ETH,NomGDPvalch,GlOBPES,-216.3359375,,,,,
EU27,NomGDPvalch,GlOBPES,-6540,,,,,
